tipe,soal,gambar,opsi_a,poin_a,opsi_b,poin_b,opsi_c,poin_c,opsi_d,poin_d,opsi_e,poin_e,kunci_jawaban
TIU,"Jika x = 1/16 dan y = 16% maka....","","x = y",0,"x < y",5,"x > y",0,"sqrt(x) < y",0,"Hubungan x dan y tidak dapat ditentukan",0,B
TIU,"Nilai dari 37,5% dari 0,333 adalah ....","","0,165",0,"0,195",0,"0,125",5,"0,265",0,"0,275",0,C
TIU,"-1, 2, 2, 4, -4, 6, 8,....","","-8",0,"-6",0,"6",0,"8",5,"10",0,D
TIU,"2, 3, 6, 3, 4, 8, 5, 6,...","","4",0,"6",0,"8",0,"10",0,"12",5,E
TIU,"5, 2, 3, 4, ......, 5, 3, 8, ......, 2, 16, 9","","7, 3",0,"5, 5",0,"6, 4",0,"3, 6",0,"4, 7",5,E
TIU,"1, 2, 5, 13, 29, ......","","54",0,"55",0,"56",5,"57",0,"58",0,C
TIU,"Perbandingan antara 3/5 dan 5/7 adalah ......","","3 banding 25",0,"7 banding 21",0,"7 banding 35",0,"21 banding 25",5,"21 banding 35",0,D
TIU,"Jika x = -5, y = 5, a = (x - y)^2, b = (y - x)^2","","a > b",0,"a < b",0,"a = b",5,"a dan b tidak dapat ditentukan",0,"ab > b",0,C
TIU,"Jika x^2 - 16 = 0 dan y = 4, maka....","","x > y",0,"x < y",0,"x = y",0,"x dan y tidak dapat ditentukan",5,"2x > 2y",0,D
TIU,"Jika a = 4, b = 3, x = 3(4a - b), dan y = 4(3b - a) maka....","","x > y",5,"x < y",0,"x = y",0,"x <= y",0,"x dan y tidak dapat ditentukan",0,A
TIU,"Bu Hana dapat menyelesaikan 12 jahitan dalam 2 hari. Bu Reni dapat menyelesaikan 20 jahitan dalam 5 hari. Bu Hesti dapat menyelesaikan 30 jahitan dalam 6 hari. Jika mereka bertiga bekerja bersamaan untuk menyelesaikan total sebanyak 120 jahitan maka pekerjaan tersebut akan selesai dalam waktu ......","","5 hari",0,"6 hari",0,"7 hari",0,"8 hari",5,"9 hari",0,D
TIU,"Sebuah penampung air memiliki kapasitas 450 liter. Sebuah kran dengan debit air 8 liter/menit dibuka untuk mengalirkan air ke dalam penampung. Pada suatu waktu tertentu selama pengisian terjadi kebocoran penampung yang mengalirkan air dengan debit 1.5 liter/menit. Jika penampung penuh dalam waktu 1 jam maka kebocoran penampung terjadi pada ......","","menit ke 20",0,"menit ke 25",0,"menit ke 30",0,"menit ke 40",5,"menit ke 45",0,D
TIU,"Reno bermain bola di arena permainan dengan 5 koin. kemudian menang tiket yang dapat ditukar dengan 12 koin. Kemudian Reno main lagi dengan 7 koin pada permainan lain. Jika awalnya Reno mempunyai 10 koin maka jumlah koin Reno sekarang adalah....","","14 koin",0,"13 koin",0,"11 koin",0,"10 koin",5,"9 koin",0,D
TIU,"Naila seorang online marketing yang mendapatkan gaji mingguan Rp.250.000,00 dan ditambah komisi 15% dari jumlah penjualan di atas Rp. 2.000.000,00 yang dicapai selama seminggu. Jika Naila ingin memperoleh penghasilan Rp. 850.000,00 untuk satu minggu maka Naila harus mencapai penjualan minimum selama seminggu sebesar....","","Rp. 8.000.000,00",0,"Rp. 7.000.000,00",0,"Rp. 6.000.000,00",0,"Rp. 5.000.000,00",0,"Rp. 4.000.000,00",5,E
TKP,"Anda memiliki rekan kerja satu angkatan penerimaan CPNS yang sudah sangat akrab. Ternyata, saat upacara peringatan kemerdekaan tanggal 17 Agustus, Anda melihat rekan Anda tersebut tidak melakukan hormat bendera saat momen penghormatan kepada bendera merah putih. Sikap Anda adalah","","Melaporkan kepada atasan dan direktur agar rekan tersebut segera dipanggil",3,"Melaporkan dan mengusulkan kepada atasan agar rekan kerja tersebut diberikan pembinaan ideologi Pancasila",4,"Mengklarifikasi dan menanyakan mengapa rekan kerja tersebut tidak melakukan hormat pada bendera",5,"Mendiamkan saja karena hal tersebut merupakan kebebasan berekspresi",1,"Langsung menelepon pihak berwajib",2,""
TKP,"Anda beserta 3 rekan lain adalah pegawai baru di sebuah kantor pelayanan. Di kantor Anda, terdapat loket pelayanan sebanyak 3 loket. Anda sebagai pegawai baru ditugaskan pada loket 1 urusan administrasi surat menyurat, sedangkan rekan kerja baru Anda ditugaskan pada loket 2 urusan pembayaran. Pada suatu siang, ada seseorang meminta pelayanan pada loket 2 yang dijaga rekan Anda. Anda mendapati pelayanan rekan Anda terhadap orang tersebut secara tidak ramah dan cenderung malas-malasan. Padahal, pelayanan rekan Anda sebelum seseorang tersebut datang tampak ramah dan melayani. Anda segera menanyakan kepada rekan Anda mengapa pelayanannya berubah hanya pada seseorang tersebut. Rekan Anda menjawab bahwa seseorang tersebut tidak sealiran dengan dia. Sikap Anda melihat peristiwa tersebut adalah","","Membiarkan kondisi tersebut karena Anda juga tidak sealiran dengan seseorang yang meminta pelayanan tadi",1,"Memberi penjelasan kepada rekan Anda supaya harus bekerja secara profesional, meskipun tidak memiliki pemahaman yang sealiran dan memberikan sikap yang ramah dan melayani seperti kepada orang lain",5,"Mengambil alih pelayanan pada loket 2 yang dijaga rekan Anda dan melayani orang tersebut meskipun dengan terpaksa",3,"Mengingatkan teman supaya memberikan pelayanan yang maksimal kepada siapapun orangnya",4,"Memanggil seseorang tersebut dan menginstruksikan untuk pindah ke loket 1 untuk Anda berikan pelayanan",2,""
TKP,"Anda adalah seorang orang tua baru dengan seorang anak yang masih belia. Di tengah perkembangan zaman dimana aliran informasi menyebar dengan cepat melalui platform-platform media sosial, upaya Anda untuk membentengi anak dari paham-paham radikalisme sejak dini adalah","","Tidak membelikan smartphone hingga anak Anda berusia 18 tahun",1,"Menanamkan semangat kebangsaan dan toleransi",4,"Selektif dalam memilihkan teman bermain kepada anak Anda",2,"Membatasi fitur smartphone anak Anda agar tidak mengakses konten radikalisme",3,"Memberikan pemahaman agama yang baik dan benar secara moderat dan damai",5,""
TKP,"Ketika Anda akan berkunjung ke museum ternyata museum tersebut ditutup karena suatu hal yang tidak terduga, reaksi Anda...","","Menunda kunjungan ke museum dan berjalan-jalan ke tempat lain sebagai gantinya.",5,"Merasa kesal karena Anda sudah datang dari tempat yang jauh.",3,"Marah dan geram karena rencana Anda terganggu.",1,"Gelisah dan bingung kemana Anda akan berjalan-jalan hari itu.",2,"Memutuskan untuk pulang ke rumah.",4,""
TKP,"Jika debat yang keras dan sengit terjadi di antara dua rekan di tempat kerja Anda maka...","","Membiarkan debat itu berlangsung karena Anda tidak mau ikut campur.",3,"Pura-pura tidak mendengar perdebatan tersebut dan cepat berlalu.",2,"Bertindak bijaksana dengan menengahi perdebatan tersebut agar rekan-rekan Anda itu tenang kembali.",5,"Membentak mereka supaya tenang karena mengganggu sekali.",1,"Menyuruh kedua rekan Anda untuk meneruskan perdebatan di luar ruangan kantor.",4,""
TKP,"Pada saat rapat orang tua dan guru, Anda terkejut mendengar teman Anda dituduh sebagai orang tua yang buruk, maka...","","Secara keras membela teman Anda di depan orang tua lainnya.",2,"Tidak mengatakan apa-apa.",1,"Tetap diam dalam rapat tersebut namun memberitahu teman Anda secara pribadi tentang apa yang Anda dengar.",4,"Menengahi masalah tersebut dengan bijak dan mencari inti permasalahan serta jalan keluar yang sebenarnya.",5,"Mengatakan kepada teman Anda untuk membela diri dengan tegas.",3,""
TKP,"Anak Anda takut terhadap perawatan gigi, perasaan takut yang sama Anda rasakan ketika Anda ke dokter gigi. Sedangkan anak Anda perlu pergi ke dokter gigi untuk memeriksakan giginya. Sikap Anda...","","Duduk bersamanya dan mencoba untuk menghiburnya sementara dokter gigi sedang bekerja.",5,"Membiarkan dia melihat Anda menjalani perawatan terlebih dahulu untuk memberikan keberanian kepadanya.",1,"Mendorongnya untuk ke ruang dokter gigi, lalu Anda pergi ke ruang tunggu dengan mengharapkan yang terbaik.",3,"Menjadwalkan kembali perawatan dokter gigi tersebut sampai Anda dan anak Anda berani menghadapinya.",2,"Meminta pasangan Anda untuk menemani anak Anda masuk ke dalam ruang dokter gigi.",4,""
TKP,"Pada saat rapat, tiba-tiba atasan anda memiliki ide untuk tamasya dengan seluruh karyawan kantor, semua orang memutuskan untuk melakukan perjalanan yang menantang adrenalin, sikap Anda...","","Menerima ide tersebut dengan antusias.",5,"Mendorong orang lain untuk bergabung dalam kegembiraan tersebut.",3,"Menerima ide tersebut setelah berpikir-pikir dahulu.",4,"Menggertakan gigi dan pergi dengan ketakutan",1,"Beralasan tidak enak badan supaya tidak perlu ikut bertamasya.",2,""
TKP,"Ketika Anda berada di dalam pesawat menuju ke Jakarta, pesawat Anda mengalami turbulensi dan semua penumpang dalam pesawat tersebut ketakutan. Reaksi Anda adalah...","","Tetap tenang dan meminta keluarga Anda untuk melakukan hal yang sama.",5,"Memeluk keluarga Anda dan menunggu akhir dari terjadinya turbulensi dengan cemas",4,"Berteriak-teriak ketakutan seperti yang lainnya.",1,"Berdoa dengan cemas semoga turbulensi cepat berakhir.",2,"Dengan cemas mencari pramugari dan menanyakan kenapa terjadi hal seperti ini.",3,""
TKP,"Anda sakit dan Anda merasa sanksi dengan kondisi Anda walaupun dokter mengatakan ada kemungkinan sembuh, maka...","","Membuat diri Anda percaya dengan perkataan dokter.",2,"Bertanya kepada keluarga tentang kebenaran penyakit yang Anda alami walaupun sebenarnya mereka tidak akan memberitahu kan kebenarannya.",4,"Mendesak dokter agar memberitahu Anda kemungkinan terburuknya.",1,"Berusaha menjalani pengobatan dan berdoa semoga diberikan kesembuhan dan hasil yang baik.",5,"Meratapi nasib mengapa hal tersebut terjadi pada Anda.",3,""
TKP,"Bagi saya untuk menjadi Pegawai Negeri Sipil yang sukses, saya harus...","","Mengikuti perintah dan arahan pimpinan secara loyal dan penuh kepatuhan dalam menyelesaikan tugas",5,"Memiliki kedudukan atau jabatan tinggi yang diperoleh dengan berbagai cara.",1,"Mengembangkan hal-hal baru yang belum pernah diciptakan sebelumnya.",4,"Menciptakan hubungan baik dengan setiap orang, rekan kerja, dan pimpinan.",3,"Memiliki gaji yang tinggi.",2,""
TKP,"Kondisi kerja yang paling saya harapkan adalah kondisi yang...","","Menghasilkan pendapatan tambahan.",2,"Menyediakan stabilitas pekerjaan kepada saya.",3,"Memberikan kemungkinan promosi jabatan bagi saya.",4,"Memberikan fasilitas yang dapat digunakan di luar jam kantor.",1,"Memotivasi saya untuk bekerja lebih giat sehingga tidak ada senioritas.",5,""
TKP,"Seorang teman kelompok saya sering sakit sehingga tidak dapat aktif dalam kelompok. Saya akan...","","Meminta dia mengundurkan diri dari kelompok.",1,"Memberi tugas yang dia mampu selesaikan.",5,"Tetap memberinya tugas sebagaimana yang lain.",2,"Membantu menyelesaikan tugasnya.",4,"Menunda memberi tugas sampai dia mampu.",3,""
TKP,"Ketika sedang mengerjakan tugas bersama yang harus selesai pada hari itu, seorang teman akan pergi terlebih dahulu, sebagai pemimpin kelompok yang akan saya lakukan..","","Memaksanya untuk tetap tinggal.",3,"Ikut pergi juga.",1,"Memintanya untuk menyelesaikan tugas terlebih dahulu.",5,"Meminta untuk mempertimbangkan.",4,"Meminta pertimbangan orang lain.",2,""
TKP,"Saya akan menghadiri pernikahan seorang kerabat dari luar kota, bersamaan dengan itu ada tugas ulangan sedangkan minggu lalu saya sudah membolos. Yang akan saya lakukan...","","Mempersiapkan diri sejak awal dan membicarakannya dengan guru untuk mengikuti ulangan di hari lain.",5,"Belajar sungguh-sungguh dan inilah kesempatan untuk memperbaiki nilai.",4,"Meminta orang tua menulis surat izin tidak dapat mengikuti ulangan hari ini.",2,"Belajar sungguh-sungguh sambil berdoa mudah-mudahan ada perubahan jadwal.",3,"Memilih pergi dan berusaha sebaik mungkin pada ulangan berikutnya.",1,""
TKP,"Dalam suatu tim ada teman yang tidak aktif kerja dilarang oleh pasangannya sehingga kerja tim menjadi tidak lancar. Sebagai satu pengurus kelompok maka yang saya lakukan...","","Mempertanyakan kesanggupan yang telah dijanjikan dulu.",5,"Berpikir hal itu di luar perhitungan saya.",1,"Berpikir bahwa teman tersebut menjengkelkan.",2,"Mencoba mengerti kondisinya.",4,"Menyesal telah memilih teman tersebut.",3,""
TKP,"Kinerja organisasi berjalan cukup efisien, namun pimpinan terkesan mengontrol situasi dengan sangat ketat. Sikap saya adalah...","","Tidak bertindak apapun, cukup dengan mengikuti jalannya arus.",3,"Mengusahakan keterlibatan pegawai dalam pengambilan keputusan untuk membuat pegawai merasa penting dan dilibatkan.",5,"Mengabaikan saja.",2,"Menentang sikap pimpinan yang terlalu mengontrol.",1,"Mengingatkan pentingnya batas waktu dan tugas kepada pimpinan.",4,""
TKP,"Di era milenium ketiga ini perubahan dunia terjadi dengan cepat. Perubahan tersebut merambat dalam kehidupan sehari-hari. Karena itu saya...","","Mengikuti perkembangan teknologi dari media masa.",1,"Mempelajari cara pengoperasian komputer.",3,"Meminta orang tua untuk melengkapi barang-barang elektronik.",2,"Berusaha mempelajari buku pengetahuan yang baru.",4,"Berusaha menguasai keterampilan di bidang teknologi informasi mutakhir.",5,""
TKP,"Harga-harga saat ini berubah dengan cepat dan kecenderungannya meningkat terus. Sementara pendapatan saya terbatas, menghadapi keadaan ini yang saya lakukan...","","Membuat skala prioritas dan rancangan penggunaan uang saku secara lebih hati-hati",5,"Merancang penggunaan uang sekaligus meminta tambahan uang saku",3,"Marah terhadap situasi yang tidak menentu",1,"Mengurangi pengeluaran untuk hal-hal yang tidak terlalu penting",4,"Meminta tambahan uang saku dari orang tua",2,""
TKP,"Saya dipercaya mengelola kegiatan yang belum dipublikasikan dan masih harus dijaga kerahasiaannya. Ketika saya berada di antara teman-teman dekat di kantor, saya...","","Suka menerima masukan demi masukan dalam rangka pengembangan tugas baru saya dan tetap menjaga amanah",5,"membicarakan hal-hal lain yang tidak ada kaitannya dengan tugas baru saya",4,"Membatasi pembicaraan agar tidak menyangkut ke hal-hal tugas baru saya",3,"Akan merasa gelisah dan kurang senang bila mereka mulai membicarakan tugas baru saya",1,"Akan mengalihkan ke pembicaraan lain bila mereka sudah mulai menyinggung mengenai tugas baru saya.",2,""
TKP,"Di era milenium ketiga ini, menjadikan perubahan terjadi begitu cepat. Perubahan tersebut merambat dalam kehidupan sehari-hari, maka saya...","","Selalu mengikuti perkembangan teknologi dari media massa",1,"Mempelajari cara pengoperasian komputer",3,"Meminta kepada orang tua untuk melengkapi koleksi barang-barang elektronik",2,"Berusaha mempelajari buku pengetahuan yang baru",4,"Berusaha menguasai keterampilan di bidang informasi yang mutakhir",5,""
TKP,"Laporan akhir tahun yang dibuat oleh tim kerja saya ternyata ditolak oleh atasan karena dianggap kurang visibel dan kurang akurat. Sikap saya adalah...","","Berusaha mencari alasan seperti minimnya dana dan sedikitnya waktu untuk mengerjakan",1,"Segera melakukan perbaikan laporan dan mengajukannya lagi ke atasan",5,"Menyalahkan rekan sejawat yang sama-sama mengerjakan laporan",2,"Menerima penolakan dan berusaha memperbaiki laporan",4,"Menerima penolakan tetapi tidak melakukan tindak lanjut",3,""
TKP,"Saya mendapat teguran langsung dari pimpinan atas kesalahan yang bukan hanya saya seorang diri sebagai pelakunya. Reaksi saya...","","Membantah secara tegas agar pada kesempatan lain pimpinan tidak semena-mena tidak menyalahkan.",1,"Diam saja, karena membantah hanya akan menambah rumit permasalahan",3,"Menerima teguran tersebut dan mencoba menjadikannya sebagai pelajaran berharga, tetapi tetap mengadukan pegawai lain yang turut bersalah agar saya tidak menjadi korban seorang diri.",5,"Membantah dan mengadukan pegawai lain yang juga bersalah agar mereka juga bisa belajar dari kejadian ini.",2,"Menerima teguran tersebut dan mencoba menjadikannya sebagai pelajaran berharga tanpa perlu mengadukan pegawai lain yang turut bersalah.",4,""
TKP,"Saya merasa beban kerja terberat ada pada saya dibanding sekian banyak pegawai kantor sehingga saya merasa stress karena dikejar-kejar deadline hampir setiap hari sementara banyak pegawai lain yang kelihatan tidak mengerjakan sesuatu. Respon saya...","","Hanya mengerjakan tugas yang saya senangi",4,"mengerjakan semua tugas dengan senang hati dan berusaha memenuhi target deadline yang ditentukan",5,"mengonsumsi suplemen agar mendongkrak stamina saya untuk menyelesaikan semua tugas",3,"mengerjakan semua tugas sambil menggerutu dan marah-marah",2,"mengerjakan semua tugas setengah-setengah saja, yang penting sudah kelihatan bertanggung jawab",1,""
TKP,"Pada saat rapat anggota dan pimpinan, pendapat saya dikritik keras oleh peserta rapat lainnya. Respon saya adalah...","","mencoba sekuat tenaga untuk mempertahankan pendapat saya",1,"menyerang semua peserta yang mengkritik pendapat saya",2,"mencoba mempelajari kritikan tersebut dan berbalik mengkritik dengan tajam",4,"diam saja tanpa berkomentar",3,"menerima kritikan tersebut dengan senang hati sebagai masukan untuk perbaikan diri",5,""
TKP,"Suatu ketika saya bermalam di rumah salah seorang warga di desa tempat saya ditugaskan, kebetulan kamarnya sempit begitupun tempat tidurnya apalagi digunakan untuk berdua. Dalam keadaan tersebut saya...","","tidur dengan beberapa kali terbangun karena merasa tidak nyaman",3,"menunggu beberapa saat baru tertidur dengan lelap",4,"terjaga sampai pagi karena tidak nyaman",1,"tetap dapat tidur dengan mudah meskipun tempat tidur sempit",5,"hampir tidak dapat tidur sampai pagi",2,""
TKP,"tentang pergantian kepemimpinan yang terjadi dalam organisasi, pendapat saya adalah...","","organisasi harus menjadi Learning Organization",3,"setiap individu dalam sebuah organisasi harus terbiasa dan dapat menyesuaikan diri dengan pergantian kepemimpinan",5,"menjaga stabilitas organisasi dengan sedapat mungkin menghindari pergantian kepemimpinan",1,"pegawai tidak boleh terlalu aktif menciptakan ide",2,"pergantian kepemimpinan adalah sesuatu yang lumrah",4,""
TKP,"Pada saat saya menggunakan fasilitas dinas yaitu sebuah mobil dinas tanpa sepengetahuan Kepala Bagian Kendaraan pada hari libur. Secara tidak sengaja. Mobil dinas yang saya kendarai menabrak sebuah pohon sehingga kendaraan tersebut menjadi rusak. Tindakan saya adalah...","","mengembalikannya dengan diam-diam setelah diperbaiki seadanya di bengkel atas biaya pribadi",3,"mencoba memperbaiki sendiri kendaraan tersebut",2,"melaporkan kejadian tersebut kepada pimpinan dan siap menerima hukuman/petunjuk dari pimpinan",4,"membawa kendaraan tersebut ke bengkel, melaporkan kejadian tersebut kepada pimpinan, serta menyerahkan segala keputusan kepada pimpinan",5,"diam-diam menyimpan kendaraan tersebut karena tidak seorang pegawai pun yang mengetahuinya",1,""
TKP,"Teman saya meminjam laptop kepada saya karena komputer di meja kerjanya terkena virus, padahal laptop yang saya bawa adalah pinjaman dari teman, saya...","","mengatakan bahwa laptop tersebut adalah pinjaman",4,"meminjami laptop dengan meminta bayaran",1,"mengatakan bahwa saya tidak berani meminjamkan karena bukan milik saya",5,"meminjamkan laptop tanpa sepengetahuan pemiliknya",2,"menolak untuk meminjamkan laptop tersebut",3,""
TKP,"Bagi saya untuk menjadi seorang pegawai yang sukses, saya harus...","","bekerja sesuai dengan instruksi pimpinan",2,"mengembangkan hal-hal baru yang belum pernah diciptakan sebelumnya",3,"menciptakan hubungan baik dengan setiap orang",1,"melakukan pekerjaan terbaik dengan standar kinerja yang tinggi",5,"mengikuti perintah dan arahan dari pimpinan secara loyal dan penuh kepatuhan",4,""
TKP,"Ketika di kantor, saya tiba-tiba ingin memprint 3 lembar data-data pribadi, yang tidak ada hubungannya dengan pekerjaan...","","maka saya langsung saja mem-print di kantor",1,"saya mem-print di kantor namun dengan memakai kertas saya sendiri",4,"saya mem-print di kantor namun menunggu setelah jam kerja selesai",3,"saya mem-print di rumah saja memakai printer sendiri",5,"saya mem-print di kantor pada saat printer tidak dipakai",2,""
TKP,"Ketika banyak pegawai di kantor saya tidak mematuhi peraturan tentang larangan penggunaan fasilitas internet kantor untuk keperluan pribadi, pendapat saya...","","saya pun tidak akan mematuhi peraturan yang sangat sulit untuk dipatuhi itu",1,"jika hanya saya yang mematuhi peraturan tersebut, maka percuma saja",2,"saya akan terus mematuhi peraturan tersebut meskipun sebagian besar melanggarnya",4,"saya mematuhi peraturan tersebut dan berusaha mengajak pegawai lain untuk turut mematuhinya",5,"sebaiknya peraturan yang sulit seperti itu harus diubah",3,""
TKP,"Atasan saya tiba-tiba memberikan sebuah tugas kepada saya. Padahal saat itu saya sedang mengerjakan pekerjaan lain. Yang harus saya lakukan adalah...","","menunda tugas tersebut karena deadline-nya masih lama",3,"meninggalkan pekerjaan yang saya lakukan dan menyelesaikan tugas tersebut",4,"meminta teman untuk menyelesaikan pekerjaan saya dan kemudian menyelesaikan tugas tersebut",2,"meminta teman saya menyelesaikan tugas tersebut",1,"segera menyelesaikan pekerjaan saya dan kemudian mengerjakan tugas tersebut",5,""
TKP,"Saya ingin rekan-rekan kerja saya melihat kualitas diri saya yang terbaik sebagai seorang yang...","","inovatif dan kreatif",3,"disiplin dan penurut",4,"mampu beradaptasi dan ramah",2,"dapat memutuskan sendiri dan realistis",1,"percaya diri dan mandiri",5,""
TKP,"Untuk mencapai tujuan yang saya inginkan saya akan...","","menyerahkan pada nasib",1,"berusaha dengan sekeras-kerasnya",4,"meminta bantuan orang lain",2,"berusaha seadanya",3,"berusaha sesuai kemampuan dengan target yang jelas",5,""
TKP,"Sebagai ketua dalam pentas seni anda mendapat laporan bahwa bintang tamu acara tersebut mengundurkan diri 1 hari sebelum hari H, anda bingung karena tiket terjual habis. Agar acara tersebut terselenggara dengan baik, yang akan anda lakukan adalah...","","Memberikan bayaran lebih kepada artis tersebut",4,"Mengganti bintang tamu dengan artis lain yang memiliki kepopuleran yang lebih",1,"Memundurkan jadwal pentas seni hingga bintang tamu tersebut mau tampil",2,"Mendatangi bintang tamu tersebut dan memintanya untuk bersikap profesional",5,"Mengembalikan ganti rugi tiket pada para calon penonton",3,""
TKP,"Bila di kantor anda terjadi kebakaran sehingga terjadi kepanikan luar biasa, tindakan yang akan anda lakukan adalah...","","Segera memanggil pemadam kebakaran",2,"Melaporkan pada petugas gedung untuk menyelamatkan semua orang",3,"Meminta semua tenang",1,"Menjalankan prosedur penyelamatan diri, sehingga mengajak yang lain untuk keluar melalui tangga darurat",5,"Mematikan aliran listrik dan tidak menggunakan lift untuk meninggalkan gedung",4,""
TKP,"Anda menerima perintah tugas ke luar kota. Kebetulan pekerjaan anda di kantor menumpuk dan harus diselesaikan. Maka tindakan yang akan anda lakukan adalah...","","Meminta atasan untuk memberikan perpanjangan waktu menyelesaikan tugas tersebut",2,"Meminta atasan untuk keluar kota setelah anda menyelesaikan pekerjaan anda",1,"Mengkoordinasikan tugas yang dapat dipercayayakan kepada rekan kerja, selain tidak menyalahi prosedur pekerjaan dapat diselesaikan tepat waktu",5,"Membawa pekerjaan tersebut ke luar kota. Sehingga dapat diselesaikan tepat waktu",4,"Menyelesaikan semampu Anda",3,""
TKP,"Tamu atasan anda dari luar jakarta sudah menunggu lama, sedangkan atasan anda sedang ijin keluar kantor. Maka tindakan yang paling tepat adalah ...","","Meminta tamu tersebut untuk pulang agar tidak menunggu",1,"Meminta tamu tersebut untuk menunggu",3,"Menemui tamu tersebut dan menawarkan bantuan. Jika sifatnya rahasia maka meminta tamu tersebut tetap menunggu atasan anda",5,"Menelpon atasan anda agar segera kembali ke kantor",2,"Memberitahu atasan anda jika ada tamu dari luar kota",4,""
TKP,"Setelah pulang dari tempat bekerja anda bertemu dengan kawan lama di sebuah restoran, terjadi perbincangan yang menarik sehingga tidak terasa malam semakin larut. Restoran tersebut juga sudah bersiap siap menutup. Maka sikap anda adalah ...","","Melanjutkan obrolan tersebut",1,"Sengaja memesan makanan kembali sehingga memiliki alasan untuk tetap duduk di restoran",4,"Segera bersiap siap untuk meninggalkan restoran tersebut",5,"Meminta waktu agar tetap diizinkan berada di restoran tersebut",3,"Dengan sengaja tidak menghabiskan makanan sehingga ada alasan untuk tetap duduk",2,""
TKP,"Saat berangkat ke kantor tiba tiba hujan. Secara kebetulan disamping anda yang sedang terburu buru tapi tidak membawa payung. Maka tindakan yang akan anda lakukan adalah ...","","Tetap melaju ke kantor",2,"Memanggil ojek payung untuk orang tersebut",4,"Menawarkan payung anda agar bisa digunakan bersama",5,"Memohon maaf karena tidak bisa memberi tumpangan pada orang tersebut",3,"Menemaninya berteduh",1,""
TKP,"Orang yang pertama kali harus percaya bahwa Anda akan menjadi seorang PNS yang sukses adalah...","","Orang tua",4,"Saudara",3,"Guru",2,"Rekan kerja",1,"Diri Sendiri",5,""
TKP,"Kreatif bukan berarti...","","Tidak pernah salah",1,"Selalu gagal",5,"Anti gagal",4,"Gagal",3,"Selalu sukses",2,""
TKP,"Jarak dari rumah ke tempat kerja 30 menit dengan bus. Tanpa diketahui sebelumnya selama kendaraan umum melakukan mogok aksi. Dalam kejadian itu saya...","","Saya akan berjalan kaki sedapat mungkin",4,"Lebih baik pulang dan tidak usah masuk kerja",1,"Saya akan berjalan kaki sambil berusaha mencari tumpangan",5,"Saya tetap menunggu siapa tahu seseorang yang akan memberi tumpangan",3,"Saya berusaha menyetop kendaraan",2,""
TKP,"Anda telah berjanji untuk bertemu dengan teman anda, disaat yang sama ada pekerjaan yang menuntut anda untuk segera menyelesaikannya, maka?","","Menelepon teman dan menjelaskan mengapa tidak bisa bertemu dengannya dan meminta maaf.",5,"Mencoba untuk mengatur ulang pekerjaan anda.",3,"Meminta sekretaris anda untuk menelepon teman anda dan menyampaikan maaf anda.",4,"Menyelesaikan pekerjaan anda dengan cepat kemudian bergegas menemui teman anda tersebut.",2,"Mengirimkan hadiah kepadanya sebagai tanda menebus ketidakhadiran anda.",1,""